timestamp,download_mbps,wifi_channel,wifi_rssi,wind_speed,humidity,temperature_c,weather_main
2024-12-23 20:11:34,90.39,149,-58,5.68,69,7.31,Clouds
2024-12-23 20:16:53,90.76,149,-57,5.68,69,7.31,Clouds
2024-12-23 20:17:39,90.13,149,-56,5.68,69,7.31,Clouds
2024-12-23 20:20:25,86.54,,,5.68,69,7.31,Clouds
